Branch,Clinic,Doctor Name,Clinic Rank in Medical Center,Doctor Rank in Clinic,Section,Period,Claimed Amount,#Claimants,#Claims,ACLC (Average Claimant Cost Doctor Clinic),ACC (Average Claim Cost Doctor Clinic),ACC (Average Claim Cost Branch Clinic),Ratio ACC to Branch,ACLC (Average Claimant Cost Branch Clinic),Ratio ACLC to Branch,ACC (Average Claim Cost Medical Centers Clinic),Ratio ACC to Medical Center,ACC INDICATOR,ACLC (Average Claimant Cost Medical Centers Clinic),Ratio ACLC to Medical Center
DC,DERMATOLOGY,Referral Doctor,12,2,Radiology,202401,0,,,0,0,8,0.00,8,0.00,2,0.00,Normal,2,0.00
DQ,FAMILY MEDICINE,RAHMA GUENICHI,1,1,Total,202401,"319,523",320,334,999,957,841,1.14,897,1.11,870,1.10,High,930,1.07
DQ,DERMATOLOGY,DR ALA MUTASIM,4,1,Total,202401,"283,971",490,512,580,555,555,1.00,580,1.00,556,1.00,Normal,579,1.00
DC,ENDOCRINE CLINIC,AHMAD ALOBEDOLLAH,5,2,Consultation,202401,"10,613",,,180,166,144,1.15,153,1.18,144,1.15,High,153,1.18
DC,ENDOCRINE CLINIC,RAWAN ALSUHAIBANI,5,1,Consultation,202401,"20,742",,,140,136,144,0.94,153,0.92,144,0.94,Normal,153,0.92
DC,ENDOCRINE CLINIC,AHMAD ALOBEDOLLAH,5,2,Lab,202401,"33,816",,,573,528,559,0.95,592,0.97,559,0.95,Normal,592,0.97
DC,ENDOCRINE CLINIC,RAWAN ALSUHAIBANI,5,1,Lab,202401,"87,485",,,591,572,559,1.02,592,1.00,559,1.02,High,592,1.00
DC,ENDOCRINE CLINIC,AHMAD ALOBEDOLLAH,5,2,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,ENDOCRINE CLINIC,RAWAN ALSUHAIBANI,5,1,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,ENDOCRINE CLINIC,AHMAD ALOBEDOLLAH,5,2,PHR,202401,"32,569",,,552,509,397,1.28,420,1.31,397,1.28,High,420,1.31
DC,ENDOCRINE CLINIC,RAWAN ALSUHAIBANI,5,1,PHR,202401,"53,502",,,361,350,397,0.88,420,0.86,397,0.88,Normal,420,0.86
DC,ENDOCRINE CLINIC,AHMAD ALOBEDOLLAH,5,2,Radiology,202401,"3,730",,,63,58,46,1.27,49,1.30,46,1.27,High,49,1.30
DC,ENDOCRINE CLINIC,RAWAN ALSUHAIBANI,5,1,Radiology,202401,"6,245",,,42,41,46,0.89,49,0.87,46,0.89,Normal,49,0.87
DQ,FAMILY MEDICINE,GRACIA HAMADEH,1,2,Total,202401,"277,949",288,303,965,917,841,1.09,897,1.08,870,1.05,High,930,1.04
DQ,INTERNAL MEDICINE CLINIC,ABDULRAHMAN KHOJAH,2,2,Total,202401,"261,802",234,352,"1,119",744,817,0.91,981,1.14,830,0.90,Normal,976,1.15
DC,ENT CLINIC,ABDULLAH SAUD ARAFAT,6,2,Consultation,202401,"8,958",,,134,130,149,0.87,156,0.86,139,0.94,Normal,145,0.92
DC,ENT CLINIC,ABDULMALIK ISMAIL,6,3,Consultation,202401,"10,989",,,139,137,149,0.92,156,0.89,139,0.99,Normal,145,0.96
DC,ENT CLINIC,KHALID ALSHIHA,6,4,Consultation,202401,"4,041",,,168,168,149,1.13,156,1.08,139,1.22,High,145,1.16
DC,ENT CLINIC,Referral Doctor,6,5,Consultation,202401,148,,,148,148,149,1.00,156,0.95,139,1.07,High,145,1.03
DC,ENT CLINIC,SAAD IBRAHIM ALBALAWI,6,1,Consultation,202401,"15,939",,,171,168,149,1.13,156,1.10,139,1.21,High,145,1.19
DC,ENT CLINIC,ABDULLAH SAUD ARAFAT,6,2,Lab,202401,252,,,4,4,4,0.91,4,0.89,6,0.56,Normal,7,0.56
DC,ENT CLINIC,ABDULMALIK ISMAIL,6,3,Lab,202401,369,,,5,5,4,1.15,4,1.11,6,0.71,Normal,7,0.69
DC,ENT CLINIC,KHALID ALSHIHA,6,4,Lab,202401,0,,,0,0,4,0.00,4,0.00,6,0.00,Normal,7,0.00
DC,ENT CLINIC,Referral Doctor,6,5,Lab,202401,0,,,0,0,4,0.00,4,0.00,6,0.00,Normal,7,0.00
DC,ENT CLINIC,SAAD IBRAHIM ALBALAWI,6,1,Lab,202401,461,,,5,5,4,1.21,4,1.18,6,0.75,Normal,7,0.73
DC,ENT CLINIC,ABDULLAH SAUD ARAFAT,6,2,Others,202401,"24,502",,,366,355,346,1.03,362,1.01,384,0.92,Normal,401,0.91
DC,ENT CLINIC,ABDULMALIK ISMAIL,6,3,Others,202401,"18,730",,,237,234,346,0.68,362,0.66,384,0.61,Normal,401,0.59
DC,ENT CLINIC,KHALID ALSHIHA,6,4,Others,202401,"7,317",,,305,305,346,0.88,362,0.84,384,0.79,Normal,401,0.76
DC,ENT CLINIC,Referral Doctor,6,5,Others,202401,235,,,235,235,346,0.68,362,0.65,384,0.61,Normal,401,0.59
DC,ENT CLINIC,SAAD IBRAHIM ALBALAWI,6,1,Others,202401,"42,172",,,453,444,346,1.28,362,1.25,384,1.16,High,401,1.13
DC,ENT CLINIC,ABDULLAH SAUD ARAFAT,6,2,PHR,202401,"8,711",,,130,126,89,1.42,93,1.40,92,1.38,High,96,1.36
DC,ENT CLINIC,ABDULMALIK ISMAIL,6,3,PHR,202401,"6,005",,,76,75,89,0.84,93,0.82,92,0.82,Normal,96,0.79
DC,ENT CLINIC,KHALID ALSHIHA,6,4,PHR,202401,898,,,37,37,89,0.42,93,0.40,92,0.41,Normal,96,0.39
DC,ENT CLINIC,Referral Doctor,6,5,PHR,202401,0,,,0,0,89,0.00,93,0.00,92,0.00,Normal,96,0.00
DC,ENT CLINIC,SAAD IBRAHIM ALBALAWI,6,1,PHR,202401,"8,327",,,90,88,89,0.98,93,0.96,92,0.96,Normal,96,0.94
DC,ENT CLINIC,ABDULLAH SAUD ARAFAT,6,2,Radiology,202401,"2,030",,,30,29,25,1.17,26,1.15,18,1.61,High,19,1.59
DC,ENT CLINIC,ABDULMALIK ISMAIL,6,3,Radiology,202401,"2,785",,,35,35,25,1.38,26,1.34,18,1.90,High,19,1.85
DC,ENT CLINIC,KHALID ALSHIHA,6,4,Radiology,202401,689,,,29,29,25,1.14,26,1.09,18,1.57,High,19,1.50
DC,ENT CLINIC,Referral Doctor,6,5,Radiology,202401,0,,,0,0,25,0.00,26,0.00,18,0.00,Normal,19,0.00
DC,ENT CLINIC,SAAD IBRAHIM ALBALAWI,6,1,Radiology,202401,"1,263",,,14,13,25,0.53,26,0.52,18,0.73,Normal,19,0.71
DQ,PEDIATRIC,ALI CHEMALI,2,1,Total,202401,"254,033",446,466,570,545,501,1.09,543,1.05,516,1.06,High,557,1.02
DC,OB-GYNE,SARAH FAHAD ALMUTAIRY,3,1,Total,202401,"243,365",312,370,780,658,664,0.99,781,1.00,674,0.98,Normal,771,1.01
DQ,OB-GYNE,DUNIA CHAAR,3,1,Total,202401,"230,631",336,369,686,625,684,0.91,755,0.91,674,0.93,Normal,771,0.89
DC,FAMILY MEDICINE,SET EL KEL,1,2,Total,202401,"216,069",244,253,886,854,907,0.94,966,0.92,870,0.98,Normal,930,0.95
DC,ENDOCRINE CLINIC,RAWAN ALSUHAIBANI,5,1,Total,202401,"167,974",148,153,"1,135","1,098","1,146",0.96,"1,213",0.94,"1,146",0.96,Normal,"1,213",0.94
DC,ER CLINIC,MAYYAR KHALAF,4,4,Consultation,202401,"19,806",,,135,135,135,1.00,139,0.97,133,1.01,High,138,0.97
DC,ER CLINIC,MOHAMMED ALAWADI,4,5,Consultation,202401,"13,084",,,134,134,135,0.99,139,0.96,133,1.00,Normal,138,0.97
DC,ER CLINIC,RASHA FAWAZ ALSKAFF,4,2,Consultation,202401,"27,884",,,134,134,135,0.99,139,0.97,133,1.01,Normal,138,0.97
DC,ER CLINIC,RAWAN ABDULMALIK,4,3,Consultation,202401,"27,249",,,137,136,135,1.01,139,0.99,133,1.02,High,138,0.99
DC,ER CLINIC,Referral Doctor,4,6,Consultation,202401,"5,039",,,140,140,135,1.04,139,1.01,133,1.05,High,138,1.01
DC,ER CLINIC,SUHAYB ATIF - JABER,4,1,Consultation,202401,"25,788",,,137,134,135,1.00,139,0.99,133,1.01,Normal,138,0.99
DC,ER CLINIC,MAYYAR KHALAF,4,4,Lab,202401,"4,674",,,32,32,19,1.68,20,1.63,16,2.00,High,16,1.93
DC,ER CLINIC,MOHAMMED ALAWADI,4,5,Lab,202401,"1,470",,,15,15,19,0.79,20,0.77,16,0.94,Normal,16,0.91
DC,ER CLINIC,RASHA FAWAZ ALSKAFF,4,2,Lab,202401,"6,463",,,31,31,19,1.64,20,1.59,16,1.96,High,16,1.88
DC,ER CLINIC,RAWAN ABDULMALIK,4,3,Lab,202401,975,,,5,5,19,0.26,20,0.25,16,0.31,Normal,16,0.30
DC,ER CLINIC,Referral Doctor,4,6,Lab,202401,346,,,10,10,19,0.51,20,0.49,16,0.61,Normal,16,0.58
DC,ER CLINIC,SUHAYB ATIF - JABER,4,1,Lab,202401,"2,792",,,15,15,19,0.77,20,0.76,16,0.92,Normal,16,0.90
DC,ER CLINIC,MAYYAR KHALAF,4,4,Others,202401,"1,926",,,13,13,25,0.51,26,0.50,19,0.68,Normal,20,0.66
DC,ER CLINIC,MOHAMMED ALAWADI,4,5,Others,202401,"2,960",,,30,30,25,1.19,26,1.15,19,1.57,High,20,1.51
DC,ER CLINIC,RASHA FAWAZ ALSKAFF,4,2,Others,202401,"4,367",,,21,21,25,0.82,26,0.80,19,1.09,High,20,1.05
DC,ER CLINIC,RAWAN ABDULMALIK,4,3,Others,202401,"4,367",,,22,22,25,0.85,26,0.84,19,1.13,High,20,1.10
DC,ER CLINIC,Referral Doctor,4,6,Others,202401,730,,,20,20,25,0.80,26,0.77,19,1.06,High,20,1.02
DC,ER CLINIC,SUHAYB ATIF - JABER,4,1,Others,202401,"8,111",,,43,42,25,1.66,26,1.64,19,2.20,High,20,2.16
DC,ER CLINIC,MAYYAR KHALAF,4,4,PHR,202401,"16,620",,,113,113,143,0.79,147,0.77,129,0.87,Normal,134,0.84
DC,ER CLINIC,MOHAMMED ALAWADI,4,5,PHR,202401,"12,174",,,124,124,143,0.87,147,0.85,129,0.96,Normal,134,0.92
DC,ER CLINIC,RASHA FAWAZ ALSKAFF,4,2,PHR,202401,"26,936",,,130,130,143,0.91,147,0.88,129,1.00,Normal,134,0.96
DC,ER CLINIC,RAWAN ABDULMALIK,4,3,PHR,202401,"19,978",,,100,99,143,0.70,147,0.68,129,0.77,Normal,134,0.75
DC,ER CLINIC,Referral Doctor,4,6,PHR,202401,297,,,8,8,143,0.06,147,0.06,129,0.06,Normal,134,0.06
DC,ER CLINIC,SUHAYB ATIF - JABER,4,1,PHR,202401,"49,728",,,265,259,143,1.82,147,1.80,129,2.00,High,134,1.97
DC,ER CLINIC,MAYYAR KHALAF,4,4,Radiology,202401,"1,045",,,7,7,10,0.71,10,0.69,10,0.69,Normal,11,0.66
DC,ER CLINIC,MOHAMMED ALAWADI,4,5,Radiology,202401,"2,326",,,24,24,10,2.38,10,2.31,10,2.29,High,11,2.21
DC,ER CLINIC,RASHA FAWAZ ALSKAFF,4,2,Radiology,202401,"2,511",,,12,12,10,1.21,10,1.17,10,1.17,High,11,1.12
DC,ER CLINIC,RAWAN ABDULMALIK,4,3,Radiology,202401,931,,,5,5,10,0.46,10,0.46,10,0.45,Normal,11,0.44
DC,ER CLINIC,Referral Doctor,4,6,Radiology,202401,146,,,4,4,10,0.41,10,0.39,10,0.39,Normal,11,0.38
DC,ER CLINIC,SUHAYB ATIF - JABER,4,1,Radiology,202401,"1,838",,,10,10,10,0.96,10,0.95,10,0.93,Normal,11,0.91
DQ,ENT CLINIC,ABDULLAH ALZUWAYED,4,1,Total,202401,"144,955",206,208,704,697,658,1.06,685,1.03,639,1.09,High,667,1.05
DC,PEDIATRIC,WALAA HAYDAR,8,1,Total,202401,"144,081",232,238,621,605,565,1.07,595,1.04,516,1.17,High,557,1.11
DQ,PEDIATRIC,WALAA ALSHABAN,2,2,Total,202401,"124,335",266,283,467,439,501,0.88,543,0.86,516,0.85,Normal,557,0.84
DQ,FAMILY MEDICINE,ABDULRAHMAN ALAMMAR,1,3,Total,202401,"123,266",204,209,604,590,841,0.70,897,0.67,870,0.68,Normal,930,0.65
DQ,ER CLINIC,HAYAM SHASH,3,1,Total,202401,"121,349",347,348,350,349,294,1.19,306,1.14,308,1.13,High,320,1.09
DQ,INTERNAL MEDICINE CLINIC,RAMZI HAMMOUD,2,3,Total,202401,"120,866",140,154,863,785,817,0.96,981,0.88,830,0.95,Normal,976,0.88
DC,FAMILY MEDICINE,ABRAR MUBARAK ALGHARBI,1,6,Consultation,202401,"6,529",,,142,133,139,0.96,148,0.96,137,0.97,Normal,147,0.97
DC,FAMILY MEDICINE,ANAS ZEIN ALAABDIN,1,1,Consultation,202401,"45,377",,,140,134,139,0.96,148,0.95,137,0.98,Normal,147,0.96
DC,FAMILY MEDICINE,BOCHRA BELHADJ,1,7,Consultation,202401,"5,554",,,139,139,139,1.00,148,0.94,137,1.01,High,147,0.95
DC,FAMILY MEDICINE,SALEH ALQAHTANI,1,4,Consultation,202401,"10,783",,,168,163,139,1.18,148,1.14,137,1.19,High,147,1.15
DC,FAMILY MEDICINE,SALEH SAAD AL SUWAYT,1,5,Consultation,202401,"11,771",,,176,166,139,1.19,148,1.19,137,1.21,High,147,1.20
DC,FAMILY MEDICINE,SAUD BIN RAKHIS,1,3,Consultation,202401,"7,109",,,137,137,139,0.98,148,0.92,137,1.00,Normal,147,0.93
DC,FAMILY MEDICINE,SET EL KEL,1,2,Consultation,202401,"33,743",,,138,133,139,0.96,148,0.93,137,0.97,Normal,147,0.94
DC,FAMILY MEDICINE,ABRAR MUBARAK ALGHARBI,1,6,Lab,202401,"15,404",,,335,314,491,0.64,523,0.64,467,0.67,Normal,499,0.67
DC,FAMILY MEDICINE,ANAS ZEIN ALAABDIN,1,1,Lab,202401,"180,952",,,558,534,491,1.09,523,1.07,467,1.14,High,499,1.12
DC,FAMILY MEDICINE,BOCHRA BELHADJ,1,7,Lab,202401,"15,571",,,389,389,491,0.79,523,0.74,467,0.83,Normal,499,0.78
DC,FAMILY MEDICINE,SALEH ALQAHTANI,1,4,Lab,202401,"35,942",,,562,545,491,1.11,523,1.07,467,1.17,High,499,1.13
DC,FAMILY MEDICINE,SALEH SAAD AL SUWAYT,1,5,Lab,202401,"24,692",,,369,348,491,0.71,523,0.70,467,0.75,Normal,499,0.74
DC,FAMILY MEDICINE,SAUD BIN RAKHIS,1,3,Lab,202401,"37,235",,,716,716,491,1.46,523,1.37,467,1.53,High,499,1.44
DC,FAMILY MEDICINE,SET EL KEL,1,2,Lab,202401,"117,587",,,482,465,491,0.95,523,0.92,467,1.00,Normal,499,0.97
DC,FAMILY MEDICINE,ABRAR MUBARAK ALGHARBI,1,6,Others,202401,"1,012",,,22,21,14,1.46,15,1.46,21,1.00,Normal,22,1.00
DC,FAMILY MEDICINE,ANAS ZEIN ALAABDIN,1,1,Others,202401,"5,803",,,18,17,14,1.21,15,1.19,21,0.83,Normal,22,0.81
DC,FAMILY MEDICINE,BOCHRA BELHADJ,1,7,Others,202401,323,,,8,8,14,0.57,15,0.53,21,0.39,Normal,22,0.37
DC,FAMILY MEDICINE,SALEH ALQAHTANI,1,4,Others,202401,904,,,14,14,14,0.97,15,0.93,21,0.67,Normal,22,0.64
DC,FAMILY MEDICINE,SALEH SAAD AL SUWAYT,1,5,Others,202401,626,,,9,9,14,0.62,15,0.62,21,0.43,Normal,22,0.42
DC,FAMILY MEDICINE,SAUD BIN RAKHIS,1,3,Others,202401,508,,,10,10,14,0.69,15,0.65,21,0.47,Normal,22,0.44
DC,FAMILY MEDICINE,SET EL KEL,1,2,Others,202401,"3,166",,,13,13,14,0.88,15,0.86,21,0.61,Normal,22,0.59
DC,FAMILY MEDICINE,ABRAR MUBARAK ALGHARBI,1,6,PHR,202401,"4,718",,,103,96,250,0.38,267,0.38,227,0.42,Normal,242,0.42
DC,FAMILY MEDICINE,ANAS ZEIN ALAABDIN,1,1,PHR,202401,"98,956",,,305,292,250,1.17,267,1.15,227,1.29,High,242,1.26
DC,FAMILY MEDICINE,BOCHRA BELHADJ,1,7,PHR,202401,"2,160",,,54,54,250,0.22,267,0.20,227,0.24,Normal,242,0.22
DC,FAMILY MEDICINE,SALEH ALQAHTANI,1,4,PHR,202401,"11,790",,,184,179,250,0.71,267,0.69,227,0.79,Normal,242,0.76
DC,FAMILY MEDICINE,SALEH SAAD AL SUWAYT,1,5,PHR,202401,"8,253",,,123,116,250,0.46,267,0.46,227,0.51,Normal,242,0.51
DC,FAMILY MEDICINE,SAUD BIN RAKHIS,1,3,PHR,202401,"33,000",,,635,635,250,2.53,267,2.38,227,2.80,High,242,2.62
DC,FAMILY MEDICINE,SET EL KEL,1,2,PHR,202401,"59,033",,,242,233,250,0.93,267,0.91,227,1.03,High,242,1.00
DC,FAMILY MEDICINE,ABRAR MUBARAK ALGHARBI,1,6,Radiology,202401,"1,278",,,28,26,12,2.13,13,2.13,19,1.39,High,20,1.38
DC,FAMILY MEDICINE,ANAS ZEIN ALAABDIN,1,1,Radiology,202401,"3,648",,,11,11,12,0.88,13,0.86,19,0.57,Normal,20,0.56
DC,FAMILY MEDICINE,BOCHRA BELHADJ,1,7,Radiology,202401,0,,,0,0,12,0.00,13,0.00,19,0.00,Normal,20,0.00
DC,FAMILY MEDICINE,SALEH ALQAHTANI,1,4,Radiology,202401,"1,975",,,31,30,12,2.44,13,2.36,19,1.60,High,20,1.54
DC,FAMILY MEDICINE,SALEH SAAD AL SUWAYT,1,5,Radiology,202401,"1,230",,,18,17,12,1.41,13,1.41,19,0.92,Normal,20,0.92
DC,FAMILY MEDICINE,SAUD BIN RAKHIS,1,3,Radiology,202401,0,,,0,0,12,0.00,13,0.00,19,0.00,Normal,20,0.00
DC,FAMILY MEDICINE,SET EL KEL,1,2,Radiology,202401,"2,540",,,10,10,12,0.82,13,0.80,19,0.54,Normal,20,0.52
DQ,FAMILY MEDICINE,NAIF ABDULLAH ALOMARI,1,4,Total,202401,"111,182",121,123,919,904,841,1.08,897,1.02,870,1.04,High,930,0.99
DC,OPHTHALMOLOGY,MARAM MHD JIHAD BAHBOUH,9,1,Total,202401,"106,492",313,319,340,334,334,1.00,340,1.00,376,0.89,Normal,381,0.89
DC,GP,Referral Doctor,2,2,Total,202401,"105,810",3,3,"35,270","35,270","1,241",28.43,"1,311",26.90,"1,201",29.37,High,"1,270",27.77
DC,INTERNAL MEDICINE CLINIC,AHMAD RAMADAN,7,1,Total,202401,"103,915",103,108,"1,009",962,907,1.06,945,1.07,830,1.16,High,976,1.03
DQ,ER CLINIC,FARDWS YASSF,3,2,Total,202401,"103,136",362,369,285,280,294,0.95,306,0.93,308,0.91,Normal,320,0.89
DC,ER CLINIC,SUHAYB ATIF - JABER,4,1,Total,202401,"88,257",188,192,469,460,332,1.39,342,1.37,308,1.49,High,320,1.47
DC,ENDOCRINE CLINIC,AHMAD ALOBEDOLLAH,5,2,Total,202401,"80,729",59,64,"1,368","1,261","1,146",1.10,"1,213",1.13,"1,146",1.10,High,"1,213",1.13
DC,GASTROENTEROLOGY,AHMAD RAMADAN,13,1,Consultation,202401,"7,512",,,144,137,137,1.00,147,0.98,137,1.00,Normal,147,0.98
DC,GASTROENTEROLOGY,Referral Doctor,13,2,Consultation,202401,147,,,147,147,137,1.07,147,1.00,137,1.07,High,147,1.00
DC,GASTROENTEROLOGY,AHMAD RAMADAN,13,1,Lab,202401,"29,191",,,561,531,532,1.00,573,0.98,532,1.00,Normal,573,0.98
DC,GASTROENTEROLOGY,Referral Doctor,13,2,Lab,202401,596,,,596,596,532,1.12,573,1.04,532,1.12,High,573,1.04
DC,GASTROENTEROLOGY,AHMAD RAMADAN,13,1,Others,202401,"1,503",,,29,27,53,0.51,57,0.51,53,0.51,Normal,57,0.51
DC,GASTROENTEROLOGY,Referral Doctor,13,2,Others,202401,"1,470",,,"1,470","1,470",53,27.69,57,25.71,53,27.69,High,57,25.71
DC,GASTROENTEROLOGY,AHMAD RAMADAN,13,1,PHR,202401,"9,787",,,188,178,175,1.02,188,1.00,175,1.02,High,188,1.00
DC,GASTROENTEROLOGY,Referral Doctor,13,2,PHR,202401,14,,,14,14,175,0.08,188,0.08,175,0.08,Normal,188,0.08
DC,GASTROENTEROLOGY,AHMAD RAMADAN,13,1,Radiology,202401,"2,097",,,40,38,37,1.02,40,1.00,37,1.02,High,40,1.00
DC,GASTROENTEROLOGY,Referral Doctor,13,2,Radiology,202401,0,,,0,0,37,0.00,40,0.00,37,0.00,Normal,40,0.00
DQ,OB-GYNE,CAREEMA JAMJOOM,3,2,Total,202401,"80,433",78,85,"1,031",946,684,1.38,755,1.37,674,1.40,High,771,1.34
DC,"Allergy, Asthma and Immunology",FAISAL ALMUHIZI,10,1,Total,202401,"78,787",55,57,"1,432","1,382","1,382",1.00,"1,432",1.00,"1,382",1.00,Normal,"1,432",1.00
DC,GP,Referral Doctor,2,2,Consultation,202401,388,,,129,129,133,0.97,141,0.92,136,0.95,Normal,144,0.90
DC,GP,SARA JAMIL NASSER,2,1,Consultation,202401,"59,111",,,141,133,133,1.00,141,1.00,136,0.98,Normal,144,0.98
DC,GP,Referral Doctor,2,2,Lab,202401,0,,,0,0,645,0.00,682,0.00,586,0.00,Normal,620,0.00
DC,GP,SARA JAMIL NASSER,2,1,Lab,202401,"287,625",,,686,649,645,1.01,682,1.01,586,1.11,High,620,1.11
DC,GP,Referral Doctor,2,2,Others,202401,"105,215",,,"35,072","35,072",251,139.90,265,132.37,287,122.33,High,303,115.67
DC,GP,SARA JAMIL NASSER,2,1,Others,202401,"6,591",,,16,15,251,0.06,265,0.06,287,0.05,Normal,303,0.05
DC,GP,Referral Doctor,2,2,PHR,202401,207,,,69,69,191,0.36,202,0.34,172,0.40,Normal,182,0.38
DC,GP,SARA JAMIL NASSER,2,1,PHR,202401,"85,078",,,203,192,191,1.00,202,1.00,172,1.12,High,182,1.12
DC,GP,Referral Doctor,2,2,Radiology,202401,0,,,0,0,20,0.00,21,0.00,21,0.00,Normal,22,0.00
DC,GP,SARA JAMIL NASSER,2,1,Radiology,202401,"9,071",,,22,20,20,1.01,21,1.01,21,1.00,Normal,22,1.00
DC,FAMILY MEDICINE,SAUD BIN RAKHIS,1,3,Total,202401,"77,852",52,52,"1,497","1,497",907,1.65,966,1.55,870,1.72,High,930,1.61
DQ,ORTHOPEDICS,BADER YOUSEF ALNUAIM,5,1,Total,202401,"76,956",103,104,747,740,640,1.16,673,1.11,592,1.25,High,622,1.20
DC,INTERNAL MEDICINE CLINIC,AHMAD RAMADAN,7,1,Consultation,202401,"14,721",,,143,136,140,0.97,146,0.98,157,0.87,Normal,185,0.77
